|     | Instance name                                    |   |V| |   CPLEX time |   CPLEX UB |   CPLEX LB |   GH1 UB |   GH1 time |   GH2 UB |   GH2 time |   RH1 UB |   RH1 time |   RH2 UB |   RH2 time |
|----:|:-------------------------------------------------|------:|-------------:|-----------:|-----------:|---------:|-----------:|---------:|-----------:|---------:|-----------:|---------:|-----------:|
|   0 | optim_instances/Instance_MAP1A_0_1.dat_3channels |    32 |        0.632 |         40 |     40     |       40 |      0     |       40 |      0.007 |       40 |      0.086 |       40 |      0.086 |
|   1 | optim_instances/Instance_MAP1A_0_2.dat_3channels |    32 |        0.115 |        160 |    160     |      170 |      0     |      160 |      0.008 |      160 |      0.033 |      160 |      0.033 |
|   2 | optim_instances/Instance_MAP1A_0_3.dat_3channels |    32 |        1.253 |         30 |     30     |       30 |      0     |       30 |      0.006 |       30 |      0.031 |       30 |      0.031 |
|   3 | optim_instances/Instance_MAP1A_1_1.dat_3channels |    36 |        0.292 |         40 |     40     |       40 |      0     |       40 |      0.017 |       40 |      0.025 |       40 |      0.025 |
|   4 | optim_instances/Instance_MAP1A_1_2.dat_3channels |    36 |        0.09  |         80 |     80     |       80 |      0     |       80 |      0.02  |       80 |      0.048 |       80 |      0.048 |
|   5 | optim_instances/Instance_MAP1A_1_3.dat_3channels |    36 |        1.026 |         30 |     30     |       30 |      0     |       30 |      0.012 |       30 |      6.591 |       30 |      6.591 |
|   6 | optim_instances/Instance_MAP1A_2_1.dat_3channels |    54 |        1.327 |         40 |     40     |       60 |      0.001 |       50 |      0.02  |       40 |      0.047 |       40 |      0.047 |
|   7 | optim_instances/Instance_MAP1A_2_2.dat_3channels |    54 |        0.265 |        220 |    220     |      220 |      0     |      220 |      0.022 |      220 |      0.093 |      220 |      0.093 |
|   8 | optim_instances/Instance_MAP1A_2_3.dat_3channels |    54 |        3.72  |         40 |     40     |       60 |      0     |       40 |      0.016 |      630 |      0.048 |       40 |      0.319 |
|   9 | optim_instances/Instance_MAP2A_0_1.dat_3channels |    46 |        0.556 |         60 |     60     |       70 |      0     |       60 |      0.014 |       60 |      0.036 |       60 |      0.036 |
|  10 | optim_instances/Instance_MAP2A_0_2.dat_3channels |    46 |        0.107 |        700 |    700     |      790 |      0     |      790 |      0.018 |      700 |      0.071 |      700 |      3.718 |
|  11 | optim_instances/Instance_MAP2A_0_3.dat_3channels |    46 |        2.319 |         40 |     40     |       50 |      0     |       40 |      0.012 |       40 |      0.086 |       40 |      0.086 |
|  12 | optim_instances/Instance_MAP2A_1_1.dat_3channels |    74 |        1.675 |        140 |    140     |      140 |      0.001 |      140 |      0.06  |      140 |      0.102 |      140 |      0.102 |
|  13 | optim_instances/Instance_MAP2A_1_2.dat_3channels |    74 |        0.314 |        890 |    890     |      900 |      0.002 |      890 |      0.12  |      980 |      0.593 |      890 |      0.934 |
|  14 | optim_instances/Instance_MAP2A_1_3.dat_3channels |    74 |        5.69  |         80 |     80     |      110 |      0.003 |       90 |      0.073 |       80 |      0.142 |       80 |      0.142 |
|  15 | optim_instances/Instance_MAP2A_2_1.dat_3channels |   103 |        7.583 |        110 |    110     |      120 |      0.004 |      120 |      0.319 |      110 |      0.071 |      110 |      0.071 |
|  16 | optim_instances/Instance_MAP2A_2_2.dat_3channels |   103 |        1.232 |        430 |    430     |      530 |      0.007 |      450 |      0.389 |      520 |      0.164 |      430 |      0.696 |
|  17 | optim_instances/Instance_MAP2A_2_3.dat_3channels |   103 |       26.257 |         70 |     70     |       90 |      0.004 |       80 |      0.206 |       70 |      1.501 |       70 |      1.501 |
|  18 | optim_instances/Instance_MAP3A_0_1.dat_3channels |    43 |        0.619 |         50 |     50     |       50 |      0     |       50 |      0.012 |       50 |      0.045 |       50 |      0.045 |
|  19 | optim_instances/Instance_MAP3A_0_2.dat_3channels |    43 |        0.222 |        280 |    280     |      280 |      0     |      280 |      0.017 |      280 |      0.045 |      280 |      0.045 |
|  20 | optim_instances/Instance_MAP3A_0_3.dat_3channels |    43 |        1.027 |         40 |     40     |       40 |      0     |       40 |      0.011 |       40 |      0.031 |       40 |      0.031 |
|  21 | optim_instances/Instance_MAP3A_1_1.dat_3channels |    85 |        8.246 |         70 |     70     |       90 |      0.002 |       80 |      0.1   |       70 |      0.133 |       70 |      0.133 |
|  22 | optim_instances/Instance_MAP3A_1_2.dat_3channels |    85 |        2.04  |        130 |    130     |      230 |      0.002 |      130 |      0.12  |      130 |      0.081 |      130 |      0.081 |
|  23 | optim_instances/Instance_MAP3A_1_3.dat_3channels |    85 |       24.091 |         60 |     60     |      460 |      0.003 |       60 |      0.137 |      360 |      0.797 |       60 |      1.81  |
|  24 | optim_instances/Instance_MAP3A_2_1.dat_3channels |   135 |      569.419 |        160 |    160     |      160 |      0.007 |      160 |      0.507 |      160 |      0.269 |      160 |      0.269 |
|  25 | optim_instances/Instance_MAP3A_2_2.dat_3channels |   135 |       13.142 |        910 |    910     |     1110 |      0.009 |     1010 |      0.648 |     1470 |      0.307 |     1090 |      4.074 |
|  26 | optim_instances/Instance_MAP3A_2_3.dat_3channels |   135 |      342.44  |        130 |    130     |      250 |      0.007 |      140 |      0.441 |      330 |      1.806 |      130 |     62.222 |
|  27 | optim_instances/Instance_MAP4A_0_1.dat_3channels |    64 |        2.599 |         60 |     60     |       60 |      0.001 |       60 |      0.049 |       60 |      0.043 |       60 |      0.043 |
|  28 | optim_instances/Instance_MAP4A_0_2.dat_3channels |    64 |        0.521 |        210 |    210     |      210 |      0.001 |      210 |      0.067 |      400 |      0.125 |      210 |      0.308 |
|  29 | optim_instances/Instance_MAP4A_0_3.dat_3channels |    64 |        7.032 |         40 |     40     |       40 |      0.001 |       40 |      0.047 |       40 |      0.062 |       40 |      0.062 |
|  30 | optim_instances/Instance_MAP4A_1_1.dat_3channels |    77 |        1.355 |        190 |    190     |      210 |      0.002 |      190 |      0.074 |      190 |      0.083 |      190 |      0.083 |
|  31 | optim_instances/Instance_MAP4A_1_2.dat_3channels |    77 |        0.212 |       1010 |   1010     |     1010 |      0.004 |     1010 |      0.173 |     1010 |      0.05  |     1010 |      0.05  |
|  32 | optim_instances/Instance_MAP4A_1_3.dat_3channels |    77 |        4.249 |        380 |    380     |      400 |      0.001 |      390 |      0.063 |      380 |      0.047 |      380 |      0.047 |
|  33 | optim_instances/Instance_MAP4A_2_1.dat_3channels |    97 |        1.594 |        210 |    210     |      220 |      0.004 |      210 |      0.183 |      210 |      0.116 |      210 |      0.116 |
|  34 | optim_instances/Instance_MAP4A_2_2.dat_3channels |    97 |        0.295 |       1630 |   1630     |     1630 |      0.006 |     1630 |      0.276 |     1630 |      0.067 |     1630 |      0.067 |
|  35 | optim_instances/Instance_MAP4A_2_3.dat_3channels |    97 |        7.62  |        130 |    130     |      150 |      0.003 |      130 |      0.144 |      230 |      0.546 |      130 |      1.351 |
|  36 | optim_instances/Instance_MAP5A_0_1.dat_3channels |    84 |       38.631 |        130 |    130     |      150 |      0.002 |      130 |      0.085 |      130 |      0.094 |      130 |      0.094 |
|  37 | optim_instances/Instance_MAP5A_0_2.dat_3channels |    84 |        5.808 |        720 |    720     |      830 |      0.002 |      720 |      0.092 |     1200 |      0.169 |      910 |      3.883 |
|  38 | optim_instances/Instance_MAP5A_0_3.dat_3channels |    84 |      690.208 |        580 |    580     |      600 |      0.002 |      580 |      0.079 |      770 |      2.858 |      670 |      6.832 |
|  39 | optim_instances/Instance_MAP5A_1_1.dat_3channels |   148 |     3603.05  |        150 |    123.75  |      150 |      0.009 |      150 |      0.632 |      200 |      0.585 |      150 |     60.893 |
|  40 | optim_instances/Instance_MAP5A_1_2.dat_3channels |   148 |     2171.7   |        240 |    240     |      600 |      0.01  |      410 |      0.727 |      980 |      0.773 |      700 |      7.69  |
|  41 | optim_instances/Instance_MAP5A_1_3.dat_3channels |   148 |      906.371 |        120 |    120     |      730 |      0.009 |      130 |      0.599 |      920 |      5.796 |      220 |     28.283 |
