Channels number:6
Time limit (s)3600
Instance name ;|I| ;|J|; CPLEX LB; CPLEX UB; CPLEX time
optim_instances/Instance_MAP4B_0_2.dat;26;38;280;280;0.678
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;40;22.641
optim_instances/Instance_MAP4B_1_1.dat;41;36;160;160;1.885
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;1270;0.345
optim_instances/Instance_MAP4B_1_3.dat;41;36;380;380;8.984
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;200;2.453
optim_instances/Instance_MAP4B_2_2.dat;56;41;1340;1340;0.558
optim_instances/Instance_MAP4B_2_3.dat;56;41;90;90;53.477
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;130;15.423
optim_instances/Instance_MAP5B_0_2.dat;45;39;850;850;1.372
optim_instances/Instance_MAP5B_0_3.dat;45;39;560;560;96.071
optim_instances/Instance_MAP5B_1_1.dat;78;70;132.5;150;3608.43
optim_instances/Instance_MAP5B_1_2.dat;78;70;230;230;10.889
optim_instances/Instance_MAP5B_1_3.dat;78;70;110;110;404.364
optim_instances/Instance_MAP5B_2_1.dat;101;115;210;210;249.86
optim_instances/Instance_MAP5B_2_2.dat;101;115;540;540;22.681
optim_instances/Instance_MAP5B_2_3.dat;101;115;280;280;2448.29
optim_instances/Instance_MAP6B_0_1.dat;92;84;160;160;232.115
optim_instances/Instance_MAP6B_0_2.dat;92;84;1780;1780;10.218
optim_instances/Instance_MAP6B_0_3.dat;92;84;130;130;1199.69
optim_instances/Instance_MAP6B_1_1.dat;112;155;430;430;147.46
optim_instances/Instance_MAP6B_1_2.dat;112;155;2460;2460;23.794
optim_instances/Instance_MAP6B_1_3.dat;112;155;568.937;580;3681.4
optim_instances/Instance_MAP6B_2_1.dat;181;175;370;390;3747.47
optim_instances/Instance_MAP6B_2_2.dat;181;175;2680;2680;120.213
optim_instances/Instance_MAP6B_2_3.dat;181;175;-1;-1;-1
