Channels number:6
Time limit (s)3600
Instance name ;|I| ;|J|; CPLEX LB; CPLEX UB; CPLEX time
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;30;0.725
optim_instances/Instance_MAP1A_0_2.dat;19;13;230;230;0.255
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;30;1.246
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;20;1.348
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;40;0.189
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;20;2.409
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;40;7.049
optim_instances/Instance_MAP1A_2_2.dat;30;24;70;70;0.591
optim_instances/Instance_MAP1A_2_3.dat;30;24;40;40;16.067
optim_instances/Instance_MAP2A_0_1.dat;22;24;50;50;0.622
optim_instances/Instance_MAP2A_0_2.dat;22;24;690;690;0.099
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;30;2.145
optim_instances/Instance_MAP2A_1_1.dat;39;35;90;90;3.216
optim_instances/Instance_MAP2A_1_2.dat;39;35;790;790;0.505
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;60;20.926
optim_instances/Instance_MAP2A_2_1.dat;47;56;80;80;8.741
optim_instances/Instance_MAP2A_2_2.dat;47;56;370;370;1.726
optim_instances/Instance_MAP2A_2_3.dat;47;56;60;60;49.91
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;40;1.436
optim_instances/Instance_MAP3A_0_2.dat;18;25;270;270;0.21
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;30;3.169
optim_instances/Instance_MAP3A_1_1.dat;45;40;60;60;31.34
optim_instances/Instance_MAP3A_1_2.dat;45;40;120;120;3.713
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;60;66.666
optim_instances/Instance_MAP3A_2_1.dat;73;62;110;110;211.285
optim_instances/Instance_MAP3A_2_2.dat;73;62;890;890;24.726
optim_instances/Instance_MAP3A_2_3.dat;73;62;110;110;410.598
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;40;2.095
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;190;0.761
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;40;16.412
optim_instances/Instance_MAP4A_1_1.dat;41;36;160;160;1.617
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;1090;0.405
optim_instances/Instance_MAP4A_1_3.dat;41;36;370;370;23.761
optim_instances/Instance_MAP4A_2_1.dat;56;41;170;170;2.913
optim_instances/Instance_MAP4A_2_2.dat;56;41;1130;1130;0.594
optim_instances/Instance_MAP4A_2_3.dat;56;41;90;90;83.063
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;130;43.073
optim_instances/Instance_MAP5A_0_2.dat;45;39;630;630;2.753
optim_instances/Instance_MAP5A_0_3.dat;45;39;570;570;141.685
optim_instances/Instance_MAP5A_1_1.dat;78;70;132.5;150;3608.91
optim_instances/Instance_MAP5A_1_2.dat;78;70;210;210;13.434
optim_instances/Instance_MAP5A_1_3.dat;78;70;120;120;214.75
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;210;337.374
optim_instances/Instance_MAP5A_2_2.dat;101;115;440;440;24.182
optim_instances/Instance_MAP5A_2_3.dat;101;115;177.5;190;3637.28
optim_instances/Instance_MAP6A_0_1.dat;92;84;160;160;144.067
optim_instances/Instance_MAP6A_0_2.dat;92;84;1160;1160;19.203
optim_instances/Instance_MAP6A_0_3.dat;92;84;220;220;1843.41
optim_instances/Instance_MAP6A_1_1.dat;112;155;430;430;152.442
optim_instances/Instance_MAP6A_1_2.dat;112;155;2840;2840;36.11
optim_instances/Instance_MAP6A_1_3.dat;112;155;680;680;985.656
optim_instances/Instance_MAP6A_2_1.dat;181;175;341.875;360;3753.45
optim_instances/Instance_MAP6A_2_2.dat;181;175;2320;2330;3638.93
optim_instances/Instance_MAP6A_2_3.dat;181;175;-1;-1;-1
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;30;3.307
optim_instances/Instance_MAP1B_0_2.dat;19;13;140;140;0.263
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;30;1.814
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;30;1.015
optim_instances/Instance_MAP1B_1_2.dat;13;23;50;50;0.187
optim_instances/Instance_MAP1B_1_3.dat;13;23;20;20;2.973
optim_instances/Instance_MAP1B_2_1.dat;30;24;40;40;8.742
optim_instances/Instance_MAP1B_2_2.dat;30;24;80;80;0.64
optim_instances/Instance_MAP1B_2_3.dat;30;24;40;40;34.937
optim_instances/Instance_MAP2B_0_1.dat;22;24;50;50;0.254
optim_instances/Instance_MAP2B_0_2.dat;22;24;1150;1150;0.062
optim_instances/Instance_MAP2B_0_3.dat;22;24;30;30;1.114
optim_instances/Instance_MAP2B_1_1.dat;39;35;100;100;3.263
optim_instances/Instance_MAP2B_1_2.dat;39;35;860;860;0.594
optim_instances/Instance_MAP2B_1_3.dat;39;35;60;60;9.421
optim_instances/Instance_MAP2B_2_1.dat;47;56;100;100;6.941
optim_instances/Instance_MAP2B_2_2.dat;47;56;390;390;1.364
optim_instances/Instance_MAP2B_2_3.dat;47;56;60;60;56.219
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;50;0.779
optim_instances/Instance_MAP3B_0_2.dat;18;25;580;580;0.117
optim_instances/Instance_MAP3B_0_3.dat;18;25;30;30;3.338
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;60;35.073
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;240;2.812
optim_instances/Instance_MAP3B_1_3.dat;45;40;60;60;75.68
optim_instances/Instance_MAP3B_2_1.dat;73;62;120;120;161.792
optim_instances/Instance_MAP3B_2_2.dat;73;62;1060;1060;10.204
optim_instances/Instance_MAP3B_2_3.dat;73;62;100;100;583.512
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;60;3.479
