Channels number ;3
Perturbation : 4
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP3B_2_2.dat;73;62;2530;0.97;1940;7.955
optim_instances/Instance_MAP3B_2_3.dat;73;62;3470;4.159;1100;31.371
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.035;60;0.035
optim_instances/Instance_MAP4B_0_2.dat;26;38;280;0.045;280;0.045
optim_instances/Instance_MAP4B_0_3.dat;26;38;140;0.073;40;1.18
optim_instances/Instance_MAP4B_1_1.dat;41;36;160;0.397;160;0.397
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;0.057;1270;0.057
optim_instances/Instance_MAP4B_1_3.dat;41;36;480;0.108;380;0.625
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.155;200;0.155
optim_instances/Instance_MAP4B_2_2.dat;56;41;1440;0.268;1440;4.148
optim_instances/Instance_MAP4B_2_3.dat;56;41;190;0.466;190;4.521
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;0.082;130;0.082
optim_instances/Instance_MAP5B_0_2.dat;45;39;1430;0.269;1230;4.525
optim_instances/Instance_MAP5B_0_3.dat;45;39;760;0.569;760;11.789
optim_instances/Instance_MAP5B_1_1.dat;78;70;160;0.64;150;60.911
optim_instances/Instance_MAP5B_1_2.dat;78;70;720;1.201;520;6.384
optim_instances/Instance_MAP5B_1_3.dat;78;70;700;1.297;310;61.869
optim_instances/Instance_MAP5B_2_1.dat;101;115;220;0.743;210;61.388
optim_instances/Instance_MAP5B_2_2.dat;101;115;1700;4.653;840;20.623
optim_instances/Instance_MAP5B_2_3.dat;101;115;1080;3.638;380;64.542
optim_instances/Instance_MAP6B_0_1.dat;92;84;230;1.683;230;15.56
optim_instances/Instance_MAP6B_0_2.dat;92;84;3030;7.12;2540;14.42
optim_instances/Instance_MAP6B_0_3.dat;92;84;2410;3.726;1130;68.173
optim_instances/Instance_MAP6B_1_1.dat;112;155;470;2.073;440;54.465
optim_instances/Instance_MAP6B_1_2.dat;112;155;2860;2.588;2750;21.81
optim_instances/Instance_MAP6B_1_3.dat;112;155;2550;8.762;1180;71.964
optim_instances/Instance_MAP6B_2_1.dat;181;175;580;105.773;540;1127.18
optim_instances/Instance_MAP6B_2_2.dat;181;175;5170;100.251;5170;386.557
optim_instances/Instance_MAP6B_2_3.dat;181;175;6110;101.838;6110;408.601
