Channels number:3
Instance name ;|I| ;|J|;GH1 UB; GH1 time;GH2 UB; GH2 time 
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.001;60;0.055
optim_instances/Instance_MAP4B_0_2.dat;26;38;290;0.002;280;0.071
optim_instances/Instance_MAP4B_0_3.dat;26;38;150;0.001;40;0.048
optim_instances/Instance_MAP4B_1_1.dat;41;36;170;0.002;160;0.081
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;0.003;1270;0.121
optim_instances/Instance_MAP4B_1_3.dat;41;36;410;0.002;390;0.07
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.004;200;0.182
optim_instances/Instance_MAP4B_2_2.dat;56;41;1810;0.005;1540;0.246
optim_instances/Instance_MAP4B_2_3.dat;56;41;230;0.004;120;0.143
optim_instances/Instance_MAP5B_0_1.dat;45;39;140;0.002;130;0.094
optim_instances/Instance_MAP5B_0_2.dat;45;39;1230;0.002;1040;0.112
optim_instances/Instance_MAP5B_0_3.dat;45;39;580;0.002;570;0.091
optim_instances/Instance_MAP5B_1_1.dat;78;70;180;0.011;150;0.752
optim_instances/Instance_MAP5B_1_2.dat;78;70;720;0.013;360;0.857
optim_instances/Instance_MAP5B_1_3.dat;78;70;710;0.01;120;0.639
optim_instances/Instance_MAP5B_2_1.dat;101;115;290;0.029;220;3.318
optim_instances/Instance_MAP5B_2_2.dat;101;115;1200;0.034;960;3.925
optim_instances/Instance_MAP5B_2_3.dat;101;115;790;0.028;290;3.05
optim_instances/Instance_MAP6B_0_1.dat;92;84;300;0.015;220;1.292
optim_instances/Instance_MAP6B_0_2.dat;92;84;2760;0.022;2350;1.804
optim_instances/Instance_MAP6B_0_3.dat;92;84;3130;0.012;570;1.151
optim_instances/Instance_MAP6B_1_1.dat;112;155;480;0.049;460;7.134
optim_instances/Instance_MAP6B_1_2.dat;112;155;3140;0.086;2700;13.825
optim_instances/Instance_MAP6B_1_3.dat;112;155;1410;0.043;1020;6.213
optim_instances/Instance_MAP6B_2_1.dat;181;175;780;0.091;470;17.108
optim_instances/Instance_MAP6B_2_2.dat;181;175;5440;0.16;4750;26.278
optim_instances/Instance_MAP6B_2_3.dat;181;175;7870;0.076;5190;13.174
