Channels number ;3
Perturbation : 3
Instance name ;|I| ;|J|;RH1 UB;RH1 time;RH2 UB;RH2 time
optim_instances/Instance_MAP3B_2_2.dat;73;62;1370;0.254;1180;4.575
optim_instances/Instance_MAP3B_2_3.dat;73;62;630;2.578;330;57.118
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;0.037;70;0.037
optim_instances/Instance_MAP4B_0_2.dat;26;38;390;0.055;390;3.716
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;0.68;40;0.68
optim_instances/Instance_MAP4B_1_1.dat;41;36;180;0.059;180;0.059
optim_instances/Instance_MAP4B_1_2.dat;41;36;1480;0.051;1480;0.051
optim_instances/Instance_MAP4B_1_3.dat;41;36;400;0.064;400;0.064
optim_instances/Instance_MAP4B_2_1.dat;56;41;230;0.077;230;0.077
optim_instances/Instance_MAP4B_2_2.dat;56;41;1920;0.068;1920;0.068
optim_instances/Instance_MAP4B_2_3.dat;56;41;150;0.156;150;0.156
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;1.605;130;1.605
optim_instances/Instance_MAP5B_0_2.dat;45;39;1430;0.201;1230;4.189
optim_instances/Instance_MAP5B_0_3.dat;45;39;760;1.289;660;12.953
optim_instances/Instance_MAP5B_1_1.dat;78;70;160;0.482;150;60.889
optim_instances/Instance_MAP5B_1_2.dat;78;70;720;1.726;520;7.617
optim_instances/Instance_MAP5B_1_3.dat;78;70;700;1.11;210;61.536
optim_instances/Instance_MAP5B_2_1.dat;101;115;220;0.731;210;61.345
optim_instances/Instance_MAP5B_2_2.dat;101;115;1410;1.476;840;16.827
optim_instances/Instance_MAP5B_2_3.dat;101;115;1080;2.751;770;76.176
optim_instances/Instance_MAP6B_0_1.dat;92;84;240;4.486;240;93.722
optim_instances/Instance_MAP6B_0_2.dat;92;84;2840;4.008;2360;10.287
optim_instances/Instance_MAP6B_0_3.dat;92;84;1340;3.826;540;63.113
optim_instances/Instance_MAP6B_1_1.dat;112;155;480;0.746;450;42.71
optim_instances/Instance_MAP6B_1_2.dat;112;155;2850;1.934;2750;21.052
optim_instances/Instance_MAP6B_1_3.dat;112;155;2570;2.694;1780;167.947
optim_instances/Instance_MAP6B_2_1.dat;181;175;490;57.418;490;166.409
optim_instances/Instance_MAP6B_2_2.dat;181;175;5000;100.3;5000;263.342
optim_instances/Instance_MAP6B_2_3.dat;181;175;6530;101.66;5910;267.59
