Channels number:6
Instance name ;|I| ;|J|;GH1 UB;GH1 time;GH2 UB;GH2 time
optim_instances/Instance_MAP6A_1_2.dat;112;155;2890;0.092;2860;15.25
optim_instances/Instance_MAP6A_1_3.dat;112;155;830;0.051;760;8.985
optim_instances/Instance_MAP6A_2_1.dat;181;175;470;0.122;400;21.671
optim_instances/Instance_MAP6A_2_2.dat;181;175;2860;0.161;2390;30.526
optim_instances/Instance_MAP6A_2_3.dat;181;175;1330;0.109;1280;19.537
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;0;40;0.004
optim_instances/Instance_MAP1B_0_2.dat;19;13;170;0;160;0.007
optim_instances/Instance_MAP1B_0_3.dat;19;13;40;0;30;0.007
optim_instances/Instance_MAP1B_1_1.dat;13;23;40;0;40;0.02
optim_instances/Instance_MAP1B_1_2.dat;13;23;180;0.001;170;0.03
optim_instances/Instance_MAP1B_1_3.dat;13;23;50;0.001;30;0.02
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;0.001;60;0.032
optim_instances/Instance_MAP1B_2_2.dat;30;24;120;0.001;120;0.029
optim_instances/Instance_MAP1B_2_3.dat;30;24;60;0;40;0.022
optim_instances/Instance_MAP2B_0_1.dat;22;24;70;0;60;0.021
optim_instances/Instance_MAP2B_0_2.dat;22;24;410;0.001;400;0.028
optim_instances/Instance_MAP2B_0_3.dat;22;24;50;0;40;0.018
optim_instances/Instance_MAP2B_1_1.dat;39;35;130;0.002;130;0.083
optim_instances/Instance_MAP2B_1_2.dat;39;35;1100;0.003;1090;0.118
optim_instances/Instance_MAP2B_1_3.dat;39;35;90;0.002;90;0.065
optim_instances/Instance_MAP2B_2_1.dat;47;56;130;0.004;130;0.294
optim_instances/Instance_MAP2B_2_2.dat;47;56;810;0.008;710;0.478
optim_instances/Instance_MAP2B_2_3.dat;47;56;110;0.004;80;0.263
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0;50;0.019
optim_instances/Instance_MAP3B_0_2.dat;18;25;310;0.001;310;0.027
optim_instances/Instance_MAP3B_0_3.dat;18;25;50;0;40;0.017
optim_instances/Instance_MAP3B_1_1.dat;45;40;90;0.003;70;0.132
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;0.003;240;0.159
optim_instances/Instance_MAP3B_1_3.dat;45;40;80;0.003;60;0.131
optim_instances/Instance_MAP3B_2_1.dat;73;62;170;0.01;170;0.623
optim_instances/Instance_MAP3B_2_2.dat;73;62;1090;0.012;1080;0.738
optim_instances/Instance_MAP3B_2_3.dat;73;62;160;0.009;140;0.563
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;0.001;70;0.073
optim_instances/Instance_MAP4B_0_2.dat;26;38;310;0.002;310;0.093
optim_instances/Instance_MAP4B_0_3.dat;26;38;50;0.001;40;0.063
optim_instances/Instance_MAP4B_1_1.dat;41;36;200;0.002;180;0.108
optim_instances/Instance_MAP4B_1_2.dat;41;36;1490;0.004;1480;0.165
optim_instances/Instance_MAP4B_1_3.dat;41;36;430;0.002;410;0.085
optim_instances/Instance_MAP4B_2_1.dat;56;41;240;0.005;230;0.229
optim_instances/Instance_MAP4B_2_2.dat;56;41;1920;0.007;1920;0.308
optim_instances/Instance_MAP4B_2_3.dat;56;41;160;0.004;150;0.182
optim_instances/Instance_MAP5B_0_1.dat;45;39;140;0.003;130;0.118
optim_instances/Instance_MAP5B_0_2.dat;45;39;870;0.003;860;0.131
optim_instances/Instance_MAP5B_0_3.dat;45;39;570;0.003;570;0.102
optim_instances/Instance_MAP5B_1_1.dat;78;70;160;0.013;150;0.807
optim_instances/Instance_MAP5B_1_2.dat;78;70;340;0.014;240;0.997
optim_instances/Instance_MAP5B_1_3.dat;78;70;140;0.012;110;0.781
optim_instances/Instance_MAP5B_2_1.dat;101;115;220;0.035;220;3.989
optim_instances/Instance_MAP5B_2_2.dat;101;115;580;0.042;460;5.162
optim_instances/Instance_MAP5B_2_3.dat;101;115;310;0.032;290;3.721
optim_instances/Instance_MAP6B_0_1.dat;92;84;220;0.019;190;1.489
optim_instances/Instance_MAP6B_0_2.dat;92;84;1910;0.024;1790;2.082
optim_instances/Instance_MAP6B_0_3.dat;92;84;210;0.017;180;1.346
optim_instances/Instance_MAP6B_1_1.dat;112;155;520;0.061;450;9.746
optim_instances/Instance_MAP6B_1_2.dat;112;155;2480;0.111;2480;15.832
optim_instances/Instance_MAP6B_1_3.dat;112;155;880;0.052;780;8.215
optim_instances/Instance_MAP6B_2_1.dat;181;175;460;0.134;440;23.257
optim_instances/Instance_MAP6B_2_2.dat;181;175;2950;0.238;2710;33.659
optim_instances/Instance_MAP6B_2_3.dat;181;175;1340;0.11;1280;19.76
