Channels number:6
Instance name ;|I| ;|J|;GH1 UB;GH1 time;GH2 UB;GH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;0;40;0.008
optim_instances/Instance_MAP1A_0_2.dat;19;13;260;0;160;0.009
optim_instances/Instance_MAP1A_0_3.dat;19;13;40;0;30;0.007
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;0.001;40;0.022
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;0.001;80;0.022
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0;30;0.015
optim_instances/Instance_MAP1A_2_1.dat;30;24;50;0.001;50;0.022
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;0.001;220;0.026
optim_instances/Instance_MAP1A_2_3.dat;30;24;50;0;40;0.02
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0;60;0.019
optim_instances/Instance_MAP2A_0_2.dat;22;24;610;0.001;610;0.026
optim_instances/Instance_MAP2A_0_3.dat;22;24;50;0;40;0.016
optim_instances/Instance_MAP2A_1_1.dat;39;35;160;0.002;140;0.08
optim_instances/Instance_MAP2A_1_2.dat;39;35;890;0.002;890;0.114
optim_instances/Instance_MAP2A_1_3.dat;39;35;100;0.002;100;0.065
optim_instances/Instance_MAP2A_2_1.dat;47;56;120;0.004;110;0.288
optim_instances/Instance_MAP2A_2_2.dat;47;56;440;0.007;430;0.457
optim_instances/Instance_MAP2A_2_3.dat;47;56;90;0.008;80;0.304
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;0;50;0.017
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;0;280;0.022
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;0;40;0.015
optim_instances/Instance_MAP3A_1_1.dat;45;40;90;0.003;80;0.126
optim_instances/Instance_MAP3A_1_2.dat;45;40;140;0.003;130;0.145
optim_instances/Instance_MAP3A_1_3.dat;45;40;90;0.003;60;0.119
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;0.009;160;0.669
optim_instances/Instance_MAP3A_2_2.dat;73;62;920;0.01;910;0.791
optim_instances/Instance_MAP3A_2_3.dat;73;62;170;0.009;140;0.536
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;0.001;60;0.071
optim_instances/Instance_MAP4A_0_2.dat;26;38;230;0.002;210;0.088
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.001;40;0.063
optim_instances/Instance_MAP4A_1_1.dat;41;36;200;0.002;190;0.107
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;0.003;1010;0.147
optim_instances/Instance_MAP4A_1_3.dat;41;36;410;0.002;390;0.078
optim_instances/Instance_MAP4A_2_1.dat;56;41;250;0.005;220;0.224
optim_instances/Instance_MAP4A_2_2.dat;56;41;1640;0.007;1630;0.326
optim_instances/Instance_MAP4A_2_3.dat;56;41;160;0.004;130;0.178
optim_instances/Instance_MAP5A_0_1.dat;45;39;150;0.003;130;0.118
optim_instances/Instance_MAP5A_0_2.dat;45;39;660;0.003;630;0.118
optim_instances/Instance_MAP5A_0_3.dat;45;39;590;0.002;580;0.1
optim_instances/Instance_MAP5A_1_1.dat;78;70;180;0.012;150;0.816
optim_instances/Instance_MAP5A_1_2.dat;78;70;240;0.013;220;0.918
optim_instances/Instance_MAP5A_1_3.dat;78;70;130;0.011;120;0.779
optim_instances/Instance_MAP5A_2_1.dat;101;115;230;0.034;220;3.927
optim_instances/Instance_MAP5A_2_2.dat;101;115;490;0.048;460;5.343
optim_instances/Instance_MAP5A_2_3.dat;101;115;220;0.034;190;3.46
optim_instances/Instance_MAP6A_0_1.dat;92;84;230;0.017;190;1.528
optim_instances/Instance_MAP6A_0_2.dat;92;84;1300;0.024;1190;1.985
optim_instances/Instance_MAP6A_0_3.dat;92;84;310;0.017;260;1.382
optim_instances/Instance_MAP6A_1_1.dat;112;155;480;0.062;470;9.917
